SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7983 E Boulevard Dr,Alexandria,VA,22308,45000000,7,10.0,EAST BOULEVARD DRIVE PRO,25500,435600,2023,133,1765,,Active,,,https://www.redfin.com/VA/Alexandria/7983-E-Boulevard-Dr-22308/home/40016373,BRIGHT MLS,VAFX2044570,N,Y,38.739577,-77.045973
MLS Listing,,Single Family Residential,601 & 607 Oronoco St,Alexandria,VA,22314,5400000,6,5.0,OLD TOWN,8145,21153,1795,266,663,,Active,,,https://www.redfin.com/VA/Alexandria/601-Oronoco-St-22314/home/166881988,BRIGHT MLS,VAAX2003726,N,Y,38.809834,-77.0449919
MLS Listing,,Vacant Land,7987 E Boulevard Dr,Alexandria,VA,22308,4000000,,,EAST BOULEVARD DRIVE PRO,,114998,,133,,,Active,,,https://www.redfin.com/VA/Alexandria/7987-E-Boulevard-Dr-22308/home/40016333,BRIGHT MLS,VAFX2044500,N,Y,38.739986,-77.043926
MLS Listing,,Townhouse,2 Wolfe St,Alexandria,VA,22314,3995000,3,4.0,WATERFORD,4685,,1993,67,853,1367,Active,,,https://www.redfin.com/VA/Alexandria/2-Wolfe-St-22314/home/11872506,BRIGHT MLS,VAAX2011068,N,Y,38.8005711,-77.0400975
MLS Listing,,Single Family Residential,4736 Neptune Dr,Alexandria,VA,22309,3650000,4,5.0,YACHT HAVEN ESTATES,5602,21972,2010,119,652,,Contingent,,,https://www.redfin.com/VA/Alexandria/4736-Neptune-Dr-22309/home/9827139,BRIGHT MLS,VAFX2047100,N,Y,38.6997428,-77.1166505
MLS Listing,,Vacant Land,7997 E Boulevard Dr,Alexandria,VA,22308,3500000,,,EAST BOULEVARD DRIVE PRO,,73180,,133,,,Active,,,https://www.redfin.com/VA/Alexandria/7997-E-Boulevard-Dr-22308/home/40016332,BRIGHT MLS,VAFX2044510,N,Y,38.739543,-77.044287
PAST SALE,,Condo/Co-op,601 N Fairfax St #513,Alexandria,VA,22314,3450000,3,2.5,THE ORONOCO,3035,,2014,66,1137,2100,Pending,,,https://www.redfin.com/VA/Alexandria/601-N-Fairfax-St-22314/unit-513/home/101387814,BRIGHT MLS,VAAX2009930,N,Y,38.8108276,-77.0407047
MLS Listing,,Single Family Residential,9307 Ludgate,Alexandria,VA,22309,3250000,6,6.5,WYCLIFFE ON THE POTOMAC,5590,105654,2021,229,581,,Contingent,,,https://www.redfin.com/VA/Alexandria/9307-Ludgate-Dr-22309/home/59459377,BRIGHT MLS,VAFX2026722,N,Y,38.7033038,-77.0942854
MLS Listing,,Single Family Residential,410 Prince St,Alexandria,VA,22314,3195000,4,3.5,OLD TOWN,4122,3116,1800,18,775,,Contingent,,,https://www.redfin.com/VA/Alexandria/410-Prince-St-22314/home/11864012,BRIGHT MLS,VAAX2013308,N,Y,38.8033875,-77.0444154
MLS Listing,,Townhouse,19 Pioneer Mill Way,Alexandria,VA,22314,3095000,4,4.5,ROBINSON TERMINAL SOUTH,3045,1121,2018,32,1016,410,Active,,,https://www.redfin.com/VA/Alexandria/19-Pioneer-Mill-Way-22314/home/113546811,BRIGHT MLS,VAAX2012126,N,Y,38.8015323,-77.0404296
MLS Listing,,Single Family Residential,504 Richards Ln,Alexandria,VA,22302,2995000,5,7.0,WINDSOR OAKS,5852,9423,1978,26,512,50,Active,,,https://www.redfin.com/VA/Alexandria/504-Richards-Ln-22302/home/11859322,BRIGHT MLS,VAAX2012808,N,Y,38.8234498,-77.0699151
MLS Listing,,Townhouse,126 S Fairfax St,Alexandria,VA,22314,2850000,9,5.0,OLD TOWN,6974,3606,1800,259,409,,Active,,,https://www.redfin.com/VA/Alexandria/126-S-Fairfax-St-22314/home/11866190,BRIGHT MLS,VAAX2004044,N,Y,38.8036478,-77.0426239
MLS Listing,,Single Family Residential,7812 Southdown Rd,Alexandria,VA,22308,2750000,7,5.5,WELLINGTON,7035,21780,2007,18,391,,Active,,,https://www.redfin.com/VA/Alexandria/7812-Southdown-Rd-22308/home/9818433,BRIGHT MLS,VAFX2070320,N,Y,38.7458477,-77.0462145
MLS Listing,,Vacant Land,6455 6th St,Alexandria,VA,22312,2700000,,,WEYANOKE,,64468,,429,,,Active,,,https://www.redfin.com/VA/Alexandria/6455-6th-St-22312/home/9724091,BRIGHT MLS,VAFX1189082,N,Y,38.815783,-77.155614
MLS Listing,,Vacant Land,,Alexandria,VA,22306,2600000,,,GUM SPRINGS,,21344,,751,,,Contingent,,,https://www.redfin.com/VA/Alexandria/Undisclosed-address-22306/home/17114420,BRIGHT MLS,VAFX1128736,N,Y,38.7418051,-77.0851584
MLS Listing,,Single Family Residential,417 N Washington St,Alexandria,VA,22314,2575000,5,3.5,ALEXANDRIA,3616,3395,1907,10,712,,Active,,,https://www.redfin.com/VA/Alexandria/417-N-Washington-St-22314/home/108528768,BRIGHT MLS,VAAX2013384,N,Y,38.8090144,-77.0458545
PAST SALE,,Condo/Co-op,1201 N Royal St #602,Alexandria,VA,22314,2560000,2,3.5,Alexandria,2469,,2021,50,1037,2252,Pending,,,https://www.redfin.com/VA/Alexandria/1201-N-Royal-St-22314/unit-602/home/173686029,BRIGHT MLS,VAAX253106,N,Y,38.8174228,-77.0403898
MLS Listing,,Single Family Residential,5915 Dawes Ave,Alexandria,VA,22311,2500000,3,3.0,HOLMES RUN,2648,125762,1925,83,944,,Active,,,https://www.redfin.com/VA/Alexandria/5915-Dawes-Ave-22311/home/9652846,BRIGHT MLS,VAFX2055398,N,Y,38.8337494,-77.1346969
MLS Listing,,Vacant Land,7993 E Boulevard Dr,Alexandria,VA,22308,2500000,,,EAST BOULEVARD DRIVE PRO,,144212,,133,,,Active,,,https://www.redfin.com/VA/Alexandria/7993-E-Boulevard-Dr-22308/home/40014551,BRIGHT MLS,VAFX2044512,N,Y,38.738979,-77.045946
MLS Listing,,Single Family Residential,1011 N Washington St,Alexandria,VA,22314,2495000,5,4.5,LIBERTY ROW,6000,,2004,278,416,777,Active,,,https://www.redfin.com/VA/Alexandria/1011-N-Washington-St-22314/home/11879538,BRIGHT MLS,VAAX2003304,N,Y,38.7946923,-77.0493601
MLS Listing,,Single Family Residential,3113 Circle Hill Rd,Alexandria,VA,22305,2450000,6,5.5,BEVERLY HILLS,4982,14058,2022,31,492,,Active,,,https://www.redfin.com/VA/Alexandria/3113-Circle-Hill-Rd-22305/home/11849126,BRIGHT MLS,VAAX2012612,N,Y,38.8332089,-77.0709494
MLS Listing,,Townhouse,512 Pendleton St,Alexandria,VA,22314,2349900,4,4.5,OLD TOWN ALEXANDRIA,3950,2069,2018,25,595,,Active,,,https://www.redfin.com/VA/Alexandria/512-Pendleton-St-22314/home/11841735,BRIGHT MLS,VAAX2012838,N,Y,38.8103502,-77.0441455
PAST SALE,,Condo/Co-op,1201 N Royal St #707,Alexandria,VA,22314,2234000,2,2.5,Alexandria,1960,,2021,219,1140,1712,Pending,,,https://www.redfin.com/VA/Alexandria/1201-N-Royal-St-22314/unit-707/home/174163409,BRIGHT MLS,VAAX255014,N,Y,38.8174228,-77.0403898
PAST SALE,April-25-2013,Townhouse,611 Cameron St,Alexandria,VA,22314,2200000,5,4.5,OLD TOWN,4231,6000,1780,11,520,,Pending,,,https://www.redfin.com/VA/Alexandria/611-Cameron-St-22314/home/11841531,BRIGHT MLS,VAAX2012044,N,Y,38.8062723,-77.0461246
PAST SALE,,Condo/Co-op,1201 N Royal St #507,Alexandria,VA,22314,2076000,2,2.5,Alexandria,1730,,2022,295,1200,1587,Pending,,,https://www.redfin.com/VA/Alexandria/1201-N-Royal-St-22314/unit-507/home/175225201,BRIGHT MLS,VAAX260474,N,Y,38.8174228,-77.0403898
MLS Listing,,Condo/Co-op,10 Bakers Walk #401,Alexandria,VA,22314,2049000,2,2.5,ROBINSON TERMINAL SOUTH,1785,,2020,25,1148,1484,Active,,,https://www.redfin.com/VA/Alexandria/10-Bakers-Walk-22314/unit-401/home/175716416,BRIGHT MLS,VAAX2012958,N,Y,38.8009588,-77.0403208
MLS Listing,,Single Family Residential,4900 Birch Ln,Alexandria,VA,22312,2000000,6,8.0,BRADDOCK ACRES,7767,21781,2010,74,257,,Active,,,https://www.redfin.com/VA/Alexandria/4900-Birch-Ln-22312/home/9722024,BRIGHT MLS,VAFX2057314,N,Y,38.8181209,-77.1753418
PAST SALE,August-15-2014,Single Family Residential,820 Rapidan Ct,Alexandria,VA,22304,1999900,4,4.5,MOORE HILL ESTATES,5428,43561,1979,7,368,,Pending,,,https://www.redfin.com/VA/Alexandria/820-Rapidan-Ct-22304/home/11853890,BRIGHT MLS,VAAX2013364,N,Y,38.8230146,-77.1139534
PAST SALE,June-9-2021,Single Family Residential,2402 Burke Ave,Alexandria,VA,22301,1995000,6,4.5,DEL RAY,3016,6050,1935,1,661,,Pending,,,https://www.redfin.com/VA/Alexandria/2402-Burke-Ave-22301/home/11844577,BRIGHT MLS,VAAX2012452,N,Y,38.8274293,-77.0538154
PAST SALE,,Condo/Co-op,1201 N Royal St #501,Alexandria,VA,22314,1991000,2,2.5,Alexandria,1694,,2021,135,1175,1577,Pending,,,https://www.redfin.com/VA/Alexandria/1201-N-Royal-St-22314/unit-501/home/174163296,BRIGHT MLS,VAAX255012,N,Y,38.8174228,-77.0403898
MLS Listing,,Condo/Co-op,1201 N Royal St #601,Alexandria,VA,22314,1986000,2,2.5,Alexandria,1694,,2022,290,1172,1577,Active,,,https://www.redfin.com/VA/Alexandria/1201-N-Royal-St-22314/unit-601/home/176164224,BRIGHT MLS,VAAX2002916,N,Y,38.8174228,-77.0403898
PAST SALE,June-29-2007,Single Family Residential,1102 Vassar Rd,Alexandria,VA,22314,1975000,5,4.5,COLLEGE PARK,4200,12060,1954,66,470,,Pending,,,https://www.redfin.com/VA/Alexandria/1102-Vassar-Rd-22314/home/11851345,BRIGHT MLS,VAAX253722,N,Y,38.8130442,-77.0831765
MLS Listing,,Condo/Co-op,1201 N Royal St #103,Alexandria,VA,22314,1943000,2,2.5,Alexandria,1715,,2022,40,1133,1587,Active,,,https://www.redfin.com/VA/Alexandria/1201-N-Royal-St-22314/unit-103/home/179231422,BRIGHT MLS,VAAX2012308,N,Y,38.8174228,-77.0403898
New Construction Plan,,Condo/Co-op,Residence D4,Alexandria,VA,22314,1912000,2,2.5,Muse Old Town,1863,,,,1026,,Active,,,https://www.redfin.com/VA/Alexandria/Muse-Old-Town/Residence-D4/home/174327239,NewHomeSource.com,Plan-191825657,N,Y,38.816544,-77.0396838
MLS Listing,,Single Family Residential,1904 Mallinson Way,Alexandria,VA,22308,1899999,4,5.0,GRAND VIEW,5461,22372,2002,67,348,42,Active,,,https://www.redfin.com/VA/Alexandria/1904-Mallinson-Way-22308/home/9836502,BRIGHT MLS,VAFX2055202,N,Y,38.711552,-77.0631472
MLS Listing,,Condo/Co-op,310 Strand St #408,Alexandria,VA,22314,1895000,2,2.0,ROBINSON LANDING,1450,,2020,66,1307,1241,Active,,,https://www.redfin.com/VA/Alexandria/310-Strand-St-22314/unit-408/home/175716398,BRIGHT MLS,VAAX2011266,N,Y,38.8023394,-77.0400275
MLS Listing,,Townhouse,730 Battery Pl,Alexandria,VA,22314,1870000,3,3.0,FORDS LANDING,2660,1262,1997,127,703,241,Contingent,,,https://www.redfin.com/VA/Alexandria/730-Battery-Pl-22314/home/11873135,BRIGHT MLS,VAAX2007424,N,Y,38.7965375,-77.041402
MLS Listing,,Single Family Residential,407 Woodland Ter,Alexandria,VA,22302,1850000,5,3.5,JEFFERSON PARK,4118,16789,1940,46,449,,Contingent,,,https://www.redfin.com/VA/Alexandria/407-Woodland-Ter-22302/home/11848545,BRIGHT MLS,VAAX2010610,N,Y,38.8258864,-77.0712192
MLS Listing,,Condo/Co-op,22 Bakers Walk #406,Alexandria,VA,22314,1845000,2,2.0,ROBINSON LANDING,1355,,2020,66,1362,1151,Active,,,https://www.redfin.com/VA/Alexandria/631-King-St-22314/unit-406/home/175716421,BRIGHT MLS,VAAX2010430,N,Y,38.8052022,-77.0467076
MLS Listing,,Townhouse,601 N Alfred St,Alexandria,VA,22314,1799000,4,4.5,PARKER GRAY,2548,1960,2022,68,706,,Active,,,https://www.redfin.com/VA/Alexandria/601-N-Alfred-St-22314/home/175041451,BRIGHT MLS,VAAX2007944,N,Y,38.8110443,-77.0480083
PAST SALE,June-18-2010,Single Family Residential,8643 Mount Vernon Hwy,Alexandria,VA,22309,1750000,4,4.5,WOODLAND PARK,5921,35896,2008,16,296,,Pending,,,https://www.redfin.com/VA/Alexandria/8643-Mount-Vernon-Hwy-22309/home/17111317,BRIGHT MLS,VAFX2057692,N,Y,38.7220067,-77.0894747
PAST SALE,January-18-2017,Multi-Family (2-4 Unit),1000 Prince St,Alexandria,VA,22314,1749999,,,Alexandria,1892,1408,1880,1,925,,Pending,,,https://www.redfin.com/VA/Alexandria/1000-Prince-St-22314/home/11840093,BRIGHT MLS,VAAX2008054,N,Y,38.8042752,-77.0506973
PAST SALE,June-19-2015,Multi-Family (2-4 Unit),313 E Monroe Ave,Alexandria,VA,22301,1749999,,,DEL RAY,2618,7600,1925,112,668,,Pending,,,https://www.redfin.com/VA/Alexandria/313-E-Monroe-Ave-22301/home/55740487,BRIGHT MLS,VAAX2008062,N,Y,38.8204997,-77.0565138
MLS Listing,,Single Family Residential,305 Cambridge Rd,Alexandria,VA,22314,1720000,4,4.5,CLOVER,3363,8000,1948,24,511,,Contingent,,,https://www.redfin.com/VA/Alexandria/305-Cambridge-Rd-22314/home/11850983,BRIGHT MLS,VAAX2011714,N,Y,38.8117972,-77.0812241
MLS Listing,,Townhouse,812 Prince St,Alexandria,VA,22314,1700000,5,4.0,FARNEY,2494,2042,1830,219,682,,Active,,,https://www.redfin.com/VA/Alexandria/812-Prince-St-22314/home/11840789,BRIGHT MLS,VAAX2005140,N,Y,38.8040335,-77.049093
PAST SALE,June-27-2007,Townhouse,308 N Pitt St,Alexandria,VA,22314,1700000,3,3.5,OLD TOWN,2651,1996,1967,2,641,,Pending,,,https://www.redfin.com/VA/Alexandria/308-N-Pitt-St-22314/home/11841656,BRIGHT MLS,VAAX2013534,N,Y,38.807487,-77.0444154
MLS Listing,,Single Family Residential,219 Woodland Ter,Alexandria,VA,22302,1700000,4,3.5,JEFFERSON PARK,3633,8510,1940,,468,,Active,,,https://www.redfin.com/VA/Alexandria/219-Woodland-Ter-22302/home/11848533,BRIGHT MLS,VAAX2004728,N,Y,38.8270253,-77.0684761
PAST SALE,November-27-2007,Single Family Residential,505 Allison,Alexandria,VA,22302,1699900,5,3.5,MONTICELLO PARK,3246,8058,1953,44,524,,Pending,,,https://www.redfin.com/VA/Alexandria/505-Allison-St-22302/home/11848938,BRIGHT MLS,VAAX2012020,N,Y,38.832479,-77.0728605
PAST SALE,September-29-1997,Single Family Residential,114 N Payne St,Alexandria,VA,22314,1699000,4,2.5,OLD TOWN ALEXANDRIA,2412,3137,1870,4,704,,Pending,,,https://www.redfin.com/VA/Alexandria/114-N-Payne-St-22314/home/11861960,BRIGHT MLS,VAAX2013236,N,Y,38.8065582,-77.0536805
PAST SALE,December-10-2019,Townhouse,603 N Alfred St,Alexandria,VA,22314,1699000,4,4.5,PARKER GRAY,2456,3920,2022,18,692,,Pending,,,https://www.redfin.com/VA/Alexandria/603-N-Alfred-St-22314/home/11841020,BRIGHT MLS,VAAX2007962,N,Y,38.8111513,-77.0476987
MLS Listing,,Single Family Residential,7859 Southdown Rd,Alexandria,VA,22308,1690000,4,4.5,WELLINGTON,4498,19319,1999,33,376,,Active,,,https://www.redfin.com/VA/Fort-Hunt/7859-Southdown-Rd-22308/home/9818421,BRIGHT MLS,VAFX2067038,N,Y,38.7454844,-77.0476375
MLS Listing,,Single Family Residential,622 Kings Cloister Cir,Alexandria,VA,22302,1680000,5,4.5,KING'S CLOISTER,5386,10462,2002,25,312,160,Contingent,,,https://www.redfin.com/VA/Alexandria/622-Kings-Cloister-Cir-22302/home/11873986,BRIGHT MLS,VAAX2012948,N,Y,38.8154026,-77.0760981
MLS Listing,,Condo/Co-op,312 S Washington St #602,Alexandria,VA,22314,1675000,3,2.0,OLD TOWN ALEXANDRIA,1694,,2021,189,989,605,Active,,,https://www.redfin.com/VA/Alexandria/312-S-Washington-St-22314/unit-602/home/177360955,BRIGHT MLS,VAAX2005890,N,Y,38.8022764,-77.0472265
MLS Listing,,Condo/Co-op,16 Bakers Walk #304,Alexandria,VA,22314,1655000,2,2.0,ROBINSON TERMINAL SOUTH,1510,,2020,37,1096,1277,Active,,,https://www.redfin.com/VA/Alexandria/16-Bakers-Walk-22314/unit-304/home/175716412,BRIGHT MLS,VAAX2012428,N,Y,38.8009888,-77.0405383
MLS Listing,,Single Family Residential,3808 Woodley Dr,Alexandria,VA,22309,1650000,4,6.5,WOODLEY HILLS,5458,31280,2022,69,302,,Active,,,https://www.redfin.com/VA/Alexandria/3808-Woodley-Dr-22309/home/9815403,BRIGHT MLS,VAFX2049512,N,Y,38.7238625,-77.0985115
MLS Listing,,Single Family Residential,3908 S Woodley Dr S,Alexandria,VA,22309,1645000,5,5.0,WOODLEY HILLS,5429,21784,2022,5,303,,Active,,,https://www.redfin.com/VA/Alexandria/3908-Woodley-Dr-22309/home/9815405,BRIGHT MLS,VAFX2072052,N,Y,38.7240284,-77.0996355
PAST SALE,August-28-1992,Single Family Residential,8629 Fort Hunt Rd,Alexandria,VA,22308,1625000,4,4.5,PLYMOUTH HAVEN,4612,24299,2022,39,352,,Pending,,,https://www.redfin.com/VA/Alexandria/8629-Fort-Hunt-Rd-22308/home/9820011,BRIGHT MLS,VAFX2059744,N,Y,38.7224181,-77.060269
PAST SALE,,Townhouse,1109 Abingdon Dr,Alexandria,VA,22314,1614900,3,4.0,Alexandria,2435,,2020,33,663,225,Pending,,,https://www.redfin.com/VA/Alexandria/1109-E-Abingdon-Dr-22314/home/175151477,BRIGHT MLS,VAAX2002566,N,Y,38.8167774,-77.0435673
PAST SALE,,Vacant Land,7711 Beulah St,Alexandria,VA,22315,1600000,,,POTTERS HILL,,108900,,133,,,Pending,,,https://www.redfin.com/VA/Alexandria/7711-Beulah-St-22315/home/162676051,BRIGHT MLS,VAFX2034388,N,Y,38.747821,-77.166505
PAST SALE,April-29-2014,Single Family Residential,6000 Edgewood Ln,Alexandria,VA,22310,1600000,6,6.5,WALHAVEN,7500,25526,2010,7,213,,Pending,,,https://www.redfin.com/VA/Alexandria/6000-Edgewood-Ln-22310/home/9782623,BRIGHT MLS,VAFX2051264,N,Y,38.7779714,-77.1419102
MLS Listing,,Single Family Residential,7215 Regent Dr,Alexandria,VA,22307,1600000,5,3.0,VILLAMAY,3437,,1959,9,466,,Active,,,https://www.redfin.com/VA/Alexandria/7215-Regent-Dr-22307/home/9796343,BRIGHT MLS,VAFX2073104,N,Y,38.7594709,-77.0511169
PAST SALE,February-26-2002,Single Family Residential,2907 Maplewood Pl,Alexandria,VA,22302,1600000,5,4.5,BRADDOCK HEIGHTS,3240,10712,1959,24,494,,Pending,,,https://www.redfin.com/VA/Alexandria/2907-Maplewood-Pl-22302/home/11852097,BRIGHT MLS,VAAX2011946,N,Y,38.8312457,-77.0783464
MLS Listing,,Single Family Residential,1600 Collingwood Rd,Alexandria,VA,22308,1599990,5,5.5,NEAR SNOWDEN,6008,21780,2022,,266,,Active,,,https://www.redfin.com/VA/Alexandria/1600-Collingwood-Rd-22308/home/161050555,BRIGHT MLS,VAFX2071950,N,Y,38.7347616,-77.0598193
PAST SALE,September-3-2019,Townhouse,2106 Main Line Blvd,Alexandria,VA,22301,1599000,5,4.5,DEL RAY,3734,1779,2014,20,428,100,Pending,,,https://www.redfin.com/VA/Alexandria/2106-Main-Line-Blvd-22301/home/49794583,BRIGHT MLS,VAAX2011762,N,Y,38.8256536,-77.0494528
PAST SALE,December-13-2002,Single Family Residential,6028 Grove Dr,Alexandria,VA,22307,1599000,5,3.5,BELLE HAVEN,4432,10500,1940,1,361,,Pending,,,https://www.redfin.com/VA/Alexandria/6028-Grove-Dr-22307/home/9762048,BRIGHT MLS,VAFX2063730,N,Y,38.7872032,-77.0649685
MLS Listing,,Single Family Residential,7905 Bolling Dr,Alexandria,VA,22308,1595000,5,3.5,WELLINGTON,4296,34887,1956,4,371,,Active,,,https://www.redfin.com/VA/Alexandria/7905-Bolling-Dr-22308/home/9818332,BRIGHT MLS,VAFX2072722,N,Y,38.7440199,-77.0521513
PAST SALE,,Condo/Co-op,310 Strand St #208,Alexandria,VA,22314,1595000,2,2.0,ROBINSON LANDING,1485,,2020,6,1074,1241,Pending,,,https://www.redfin.com/VA/Alexandria/310-Strand-St-22314/unit-208/home/175716385,BRIGHT MLS,VAAX2009568,N,Y,38.8023394,-77.0400275
MLS Listing,,Condo/Co-op,10 Baker's Walk #402,Alexandria,VA,22314,1595000,2,2.0,ROBINSON LANDING,1395,,2020,320,1143,1198,Active,,,https://www.redfin.com/VA/Alexandria/10-Bakers-Walk-22314/unit-402/home/175716417,BRIGHT MLS,VAAX2001704,N,Y,38.8009588,-77.0403208
PAST SALE,April-9-2008,Single Family Residential,505 W Windsor Ave,Alexandria,VA,22302,1595000,4,4.0,JEFFERSON PARK,4301,12500,1950,5,371,,Pending,,,https://www.redfin.com/VA/Alexandria/505-W-Windsor-Ave-22302/home/11848635,BRIGHT MLS,VAAX2013168,N,Y,38.8240807,-77.0710618
